"","TAHUN","NAMA PROVINSI","NAMA KABUPATEN/KOTA","NAMA KECAMATAN","NAMA KELURAHAN","LUAS WILAYAH (KM2)","KEPADATAN (JIWA/KM2)","DEMOGRAFIK","JUMLAH","RENTANG UMUR","JENIS KELAMIN"
"23",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","CEMPAKA BARU",0.99,38088,"35-39 Laki-Laki",1750,"35-39","Laki-Laki"
"24",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","SUMUR BATU",1.15,23271,"35-39 Laki-Laki",1452,"35-39","Laki-Laki"
"25",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","UTAN PANJANG",1.05,31889,"35-39 Laki-Laki",1610,"35-39","Laki-Laki"
"26",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","SENEN","SENEN",0.81,10158,"35-39 Laki-Laki",398,"35-39","Laki-Laki"
"27",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","SENEN","KENARI",0.91,11757,"35-39 Laki-Laki",456,"35-39","Laki-Laki"
"28",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","SENEN","PASEBAN",0.71,38400,"35-39 Laki-Laki",1266,"35-39","Laki-Laki"
"29",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","SENEN","KRAMAT",0.71,47630,"35-39 Laki-Laki",1552,"35-39","Laki-Laki"
"30",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","SENEN","KWITANG",0.45,40724,"35-39 Laki-Laki",908,"35-39","Laki-Laki"
"31",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","SENEN","BUNGUR",0.64,34463,"35-39 Laki-Laki",1046,"35-39","Laki-Laki"
"32",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","CEMPAKA PUTIH","CEMPAKA PUTIH TIMUR",2.22,12326,"35-39 Laki-Laki",1264,"35-39","Laki-Laki"
"33",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","CEMPAKA PUTIH","CEMPAKA PUTIH BARAT",1.22,32561,"35-39 Laki-Laki",1858,"35-39","Laki-Laki"
"34",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","CEMPAKA PUTIH","RAWASARI",1.25,19945,"35-39 Laki-Laki",1200,"35-39","Laki-Laki"
"35",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","MENTENG","MENTENG",2.44,11968,"35-39 Laki-Laki",1349,"35-39","Laki-Laki"
"36",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","MENTENG","PEGANGSAAN",0.98,27151,"35-39 Laki-Laki",1172,"35-39","Laki-Laki"
"37",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","MENTENG","CIKINI",0.82,11711,"35-39 Laki-Laki",424,"35-39","Laki-Laki"
"38",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","MENTENG","GONDANGDIA",1.46,3194,"35-39 Laki-Laki",192,"35-39","Laki-Laki"
"39",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","MENTENG","KEBON SIRIH",0.83,18577,"35-39 Laki-Laki",733,"35-39","Laki-Laki"
"40",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","GELORA",2.59,1450,"35-39 Laki-Laki",185,"35-39","Laki-Laki"
"41",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","BENDUNGAN HILIR",1.58,16018,"35-39 Laki-Laki",1124,"35-39","Laki-Laki"
"42",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KARET TENGSIN",1.53,13912,"35-39 Laki-Laki",1118,"35-39","Laki-Laki"
"43",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","PETAMBURAN",0.9,43262,"35-39 Laki-Laki",1851,"35-39","Laki-Laki"
"44",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KEBON MELATI",1.26,30563,"35-39 Laki-Laki",1862,"35-39","Laki-Laki"
"45",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KEBON KACANG",0.71,35545,"35-39 Laki-Laki",1150,"35-39","Laki-Laki"
"46",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KAMPUNG BALI",0.73,19941,"35-39 Laki-Laki",612,"35-39","Laki-Laki"
"47",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","JOHAR BARU",1.19,35270,"35-39 Laki-Laki",2036,"35-39","Laki-Laki"
"48",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","KAMPUNG RAWA",0.3,86123,"35-39 Laki-Laki",1210,"35-39","Laki-Laki"
"49",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","GALUR",0.27,79022,"35-39 Laki-Laki",999,"35-39","Laki-Laki"
"50",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","TANAH TINGGI",0.62,71177,"35-39 Laki-Laki",2118,"35-39","Laki-Laki"
"51",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PENJARINGAN",3.95,28071,"35-39 Laki-Laki",9225,"35-39","Laki-Laki"
"52",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","KAMAL MUARA",10.53,1144,"35-39 Laki-Laki",1045,"35-39","Laki-Laki"
"53",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","KAPUK MUARA",10.56,3243,"35-39 Laki-Laki",2763,"35-39","Laki-Laki"
"54",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PEJAGALAN",3.23,27856,"35-39 Laki-Laki",7137,"35-39","Laki-Laki"
"55",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PLUIT",7.71,6344,"35-39 Laki-Laki",3656,"35-39","Laki-Laki"
"56",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","TANJUNG PRIOK",5.59,7794,"35-39 Laki-Laki",3374,"35-39","Laki-Laki"
"57",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","SUNTER JAYA",4.68,14791,"35-39 Laki-Laki",5374,"35-39","Laki-Laki"
"58",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","PAPANGGO",2.8,16353,"35-39 Laki-Laki",3667,"35-39","Laki-Laki"
"59",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","SUNGAI BAMBU",2.36,15221,"35-39 Laki-Laki",2807,"35-39","Laki-Laki"
"60",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","KEBON BAWANG",1.73,35952,"35-39 Laki-Laki",4677,"35-39","Laki-Laki"
"61",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","SUNTER AGUNG",6.65,12234,"35-39 Laki-Laki",6094,"35-39","Laki-Laki"
"62",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","WARAKAS",1.09,49384,"35-39 Laki-Laki",4224,"35-39","Laki-Laki"
"63",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","KOJA","KOJA",3.27,10838,"35-39 Laki-Laki",3088,"35-39","Laki-Laki"
"64",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","KOJA","TUGU UTARA",2.37,34123,"35-39 Laki-Laki",6608,"35-39","Laki-Laki"
"65",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","KOJA","LAGOA",1.58,44105,"35-39 Laki-Laki",5931,"35-39","Laki-Laki"
"66",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","KOJA","RAWA BADAK UTARA",1.33,31357,"35-39 Laki-Laki",3260,"35-39","Laki-Laki"
"67",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","KOJA","TUGU SELATAN",1.86,22869,"35-39 Laki-Laki",3744,"35-39","Laki-Laki"
"68",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","KOJA","RAWA BADAK SELATAN",1.33,35441,"35-39 Laki-Laki",3910,"35-39","Laki-Laki"
"69",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","CILINCING",8.31,6326,"35-39 Laki-Laki",4654,"35-39","Laki-Laki"
"70",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","SUKAPURA",5.61,11602,"35-39 Laki-Laki",5221,"35-39","Laki-Laki"
"71",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","MARUNDA",7.92,3105,"35-39 Laki-Laki",2187,"35-39","Laki-Laki"
"72",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","KALI BARU",2.47,34278,"35-39 Laki-Laki",7616,"35-39","Laki-Laki"
"73",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","SEMPER TIMUR",3.17,12725,"35-39 Laki-Laki",3230,"35-39","Laki-Laki"
"74",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","ROROTAN",10.64,3859,"35-39 Laki-Laki",3442,"35-39","Laki-Laki"
"75",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","SEMPER BARAT",4.44,18003,"35-39 Laki-Laki",6419,"35-39","Laki-Laki"
"76",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","PADEMANGAN","PADEMANGAN TIMUR",2.61,16245,"35-39 Laki-Laki",3005,"35-39","Laki-Laki"
"77",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","PADEMANGAN","PADEMANGAN BARAT",3.53,24947,"35-39 Laki-Laki",7178,"35-39","Laki-Laki"
"78",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","PADEMANGAN","ANCOL",5.77,4981,"35-39 Laki-Laki",2259,"35-39","Laki-Laki"
"79",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","KELAPA GADING","KELAPA GADING TIMUR",5.31,7089,"35-39 Laki-Laki",2539,"35-39","Laki-Laki"
"80",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","KELAPA GADING","PEGANGSAAN DUA",6.28,8216,"35-39 Laki-Laki",4170,"35-39","Laki-Laki"
"81",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","KELAPA GADING","KELAPA GADING BARAT",4.53,8515,"35-39 Laki-Laki",2628,"35-39","Laki-Laki"
"82",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","CENGKARENG","CENGKARENG BARAT",4.26,16409,"35-39 Laki-Laki",5316,"35-39","Laki-Laki"
"83",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","CENGKARENG","DURI KOSAMBI",5.03,15866,"35-39 Laki-Laki",6922,"35-39","Laki-Laki"
"84",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","CENGKARENG","RAWA BUAYA",4.67,14886,"35-39 Laki-Laki",5632,"35-39","Laki-Laki"
"85",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","CENGKARENG","KEDAUNG KALI ANGKE",2.61,14438,"35-39 Laki-Laki",2951,"35-39","Laki-Laki"
"86",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","CENGKARENG","KAPUK",7.18,20919,"35-39 Laki-Laki",13011,"35-39","Laki-Laki"
"87",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","CENGKARENG","CENGKARENG TIMUR",4.18,20735,"35-39 Laki-Laki",7146,"35-39","Laki-Laki"
"88",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","GROGOL",1.22,16960,"35-39 Laki-Laki",1530,"35-39","Laki-Laki"
"89",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","TANJUNG DUREN UTARA",1.11,18227,"35-39 Laki-Laki",1277,"35-39","Laki-Laki"
"90",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","TOMANG",1.88,18103,"35-39 Laki-Laki",2404,"35-39","Laki-Laki"
"91",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","JELAMBAR",1.44,24624,"35-39 Laki-Laki",2358,"35-39","Laki-Laki"
"92",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","TANJUNG DUREN SELATAN",1.76,15915,"35-39 Laki-Laki",1857,"35-39","Laki-Laki"
"93",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","JELAMBAR BARU",1.44,30778,"35-39 Laki-Laki",3165,"35-39","Laki-Laki"
"94",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","WIJAYA KUSUMA",2.61,17092,"35-39 Laki-Laki",3523,"35-39","Laki-Laki"
"95",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","TAMAN SARI",0.68,26441,"35-39 Laki-Laki",1365,"35-39","Laki-Laki"
"96",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","KRUKUT",0.55,42111,"35-39 Laki-Laki",1848,"35-39","Laki-Laki"
"97",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","MAPHAR",0.59,34693,"35-39 Laki-Laki",1555,"35-39","Laki-Laki"
"98",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","TANGKI",0.37,43827,"35-39 Laki-Laki",1248,"35-39","Laki-Laki"
"99",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","MANGGA BESAR",0.51,17882,"35-39 Laki-Laki",675,"35-39","Laki-Laki"
"100",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","KEAGUNGAN",0.32,65800,"35-39 Laki-Laki",1673,"35-39","Laki-Laki"
"101",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","GLODOK",0.38,24153,"35-39 Laki-Laki",650,"35-39","Laki-Laki"
"102",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","PINANGSIA",0.96,13791,"35-39 Laki-Laki",991,"35-39","Laki-Laki"
"103",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","TAMBORA",0.28,45375,"35-39 Laki-Laki",968,"35-39","Laki-Laki"
"104",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","KALI ANYAR",0.32,94166,"35-39 Laki-Laki",2532,"35-39","Laki-Laki"
"105",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","DURI UTARA",0.4,60175,"35-39 Laki-Laki",1919,"35-39","Laki-Laki"
"106",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","TANAH SEREAL",0.62,49860,"35-39 Laki-Laki",2485,"35-39","Laki-Laki"
"107",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","KERENDANG",0.32,74109,"35-39 Laki-Laki",2057,"35-39","Laki-Laki"
"108",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","JEMBATAN BESI",0.55,66447,"35-39 Laki-Laki",3124,"35-39","Laki-Laki"
"109",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","ANGKE",0.8,43826,"35-39 Laki-Laki",2767,"35-39","Laki-Laki"
"110",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","JEMBATAN LIMA",0.46,54543,"35-39 Laki-Laki",2104,"35-39","Laki-Laki"
"111",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","PEKOJAN",0.78,35333,"35-39 Laki-Laki",2061,"35-39","Laki-Laki"
"112",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","ROA MALAKA",0.53,8275,"35-39 Laki-Laki",257,"35-39","Laki-Laki"
"113",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","DURI SELATAN",0.42,41460,"35-39 Laki-Laki",1319,"35-39","Laki-Laki"
"114",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","KEBON JERUK",2.69,20957,"35-39 Laki-Laki",4362,"35-39","Laki-Laki"
"115",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","SUKABUMI UTARA",1.6,26438,"35-39 Laki-Laki",3197,"35-39","Laki-Laki"
"116",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","SUKABUMI SELATAN",1.57,26532,"35-39 Laki-Laki",3396,"35-39","Laki-Laki"
"117",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","KELAPA DUA",1.5,17297,"35-39 Laki-Laki",1962,"35-39","Laki-Laki"
"118",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","DURI KEPA",3.86,17148,"35-39 Laki-Laki",5160,"35-39","Laki-Laki"
"119",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","KEDOYA UTARA",3.14,15976,"35-39 Laki-Laki",3914,"35-39","Laki-Laki"
"120",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","KEDOYA SELATAN",2.28,15519,"35-39 Laki-Laki",2709,"35-39","Laki-Laki"
"121",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KALI DERES","KALIDERES",5.72,13726,"35-39 Laki-Laki",6660,"35-39","Laki-Laki"
"122",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KALI DERES","SEMANAN",5.98,13037,"35-39 Laki-Laki",6508,"35-39","Laki-Laki"
"123",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KALI DERES","TEGAL ALUR",4,23429,"35-39 Laki-Laki",8053,"35-39","Laki-Laki"
"124",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KALI DERES","KAMAL",4.49,12257,"35-39 Laki-Laki",4847,"35-39","Laki-Laki"
"125",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KALI DERES","PEGADUNGAN",8.89,8364,"35-39 Laki-Laki",5990,"35-39","Laki-Laki"
"126",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","PALMERAH","PALMERAH",2.11,33544,"35-39 Laki-Laki",5308,"35-39","Laki-Laki"
"127",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","PALMERAH","SLIPI",0.97,19980,"35-39 Laki-Laki",1445,"35-39","Laki-Laki"
"128",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","PALMERAH","KOTA BAMBU UTARA",0.63,46608,"35-39 Laki-Laki",2268,"35-39","Laki-Laki"
"129",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","PALMERAH","JATI PULO",0.87,38834,"35-39 Laki-Laki",2575,"35-39","Laki-Laki"
"130",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","PALMERAH","KEMANGGISAN",2.33,16328,"35-39 Laki-Laki",2642,"35-39","Laki-Laki"
"131",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","PALMERAH","KOTA BAMBU SELATAN",0.61,41082,"35-39 Laki-Laki",1967,"35-39","Laki-Laki"
"132",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","KEMBANGAN UTARA",3.65,15703,"35-39 Laki-Laki",4531,"35-39","Laki-Laki"
"133",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","MERUYA UTARA",4.76,9608,"35-39 Laki-Laki",3545,"35-39","Laki-Laki"
"134",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","MERUYA SELATAN",2.85,11142,"35-39 Laki-Laki",2471,"35-39","Laki-Laki"
"135",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","SRENGSENG",4.92,9446,"35-39 Laki-Laki",3761,"35-39","Laki-Laki"
"136",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","JOGLO",4.86,8812,"35-39 Laki-Laki",3226,"35-39","Laki-Laki"
"137",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","KEMBANGAN SELATAN",3.6,7866,"35-39 Laki-Laki",2439,"35-39","Laki-Laki"
"138",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","TEBET TIMUR",1.39,14544,"35-39 Laki-Laki",838,"35-39","Laki-Laki"
"139",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","TEBET BARAT",1.72,14080,"35-39 Laki-Laki",1060,"35-39","Laki-Laki"
"140",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","MENTENG DALAM",2.58,16355,"35-39 Laki-Laki",2029,"35-39","Laki-Laki"
"141",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","KEBON BARU",1.3,31580,"35-39 Laki-Laki",2004,"35-39","Laki-Laki"
"142",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","BUKIT DURI",1.08,38906,"35-39 Laki-Laki",1880,"35-39","Laki-Laki"
"143",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","MANGGARAI SELATAN",0.51,52659,"35-39 Laki-Laki",1239,"35-39","Laki-Laki"
"144",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","MANGGARAI",0.95,36246,"35-39 Laki-Laki",1545,"35-39","Laki-Laki"
"145",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","SETIA BUDI",0.94,3852,"35-39 Laki-Laki",168,"35-39","Laki-Laki"
"146",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","KARET SEMANGGI",0.9,3202,"35-39 Laki-Laki",126,"35-39","Laki-Laki"
"147",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","KARET KUNINGAN",1.79,10414,"35-39 Laki-Laki",879,"35-39","Laki-Laki"
"148",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","KARET",0.94,12948,"35-39 Laki-Laki",603,"35-39","Laki-Laki"
"149",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","MENTENG ATAS",0.9,35511,"35-39 Laki-Laki",1504,"35-39","Laki-Laki"
"150",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","PASAR MANGGIS",0.78,40395,"35-39 Laki-Laki",1445,"35-39","Laki-Laki"
"151",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","GUNTUR",0.65,7174,"35-39 Laki-Laki",208,"35-39","Laki-Laki"
"152",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","KUNINGAN TIMUR",2.15,3335,"35-39 Laki-Laki",328,"35-39","Laki-Laki"
"153",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","MAMPANG PRAPATAN",0.78,27765,"35-39 Laki-Laki",1101,"35-39","Laki-Laki"
